datetime,coordinates,model,model elevation,utc_offset,temperature,dewpoint_temperature,relative_humidity,surface_pressure,direct_normal_solar_radiation,surface_diffuse_solar_radiation,surface_solar_radiation,surface_thermal_radiation,wind_speed,wind_direction,total_cloud_cover,total_precipitation,snow_depth,pv_power_watts
2023-01-01 00:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,14.43,12.74,0.9,98852.98,27.02,58.25,64.6,358.79,3.54,172.71,1.0,0.61,0.0,7695.107
2023-01-01 01:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,14.26,12.61,0.9,98703.21,12.08,14.12,14.86,354.61,4.39,163.34,1.0,0.85,0.0,1779.775
2023-01-01 02:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,14.2,12.48,0.89,98634.02,0.0,0.0,0.0,356.7,4.73,158.15,1.0,0.98,0.0,0.0
2023-01-01 03:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,13.94,12.19,0.89,98498.8,0.0,0.0,0.0,360.43,4.96,168.87,1.0,1.57,0.0,0.0
2023-01-01 04:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,13.71,12.45,0.92,98492.18,0.0,0.0,0.0,354.09,5.1,184.54,1.0,2.29,0.0,0.0
2023-01-01 05:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,13.78,12.47,0.92,98437.77,0.0,0.0,0.0,360.69,5.05,183.35,1.0,3.74,0.0,0.0
2023-01-01 06:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,13.82,12.77,0.93,98357.6,0.0,0.0,0.0,366.06,5.38,170.8,1.0,5.99,0.0,0.0
2023-01-01 07:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,14.04,13.05,0.94,98259.24,0.0,0.0,0.0,370.1,6.71,176.68,1.0,6.89,0.0,0.0
2023-01-01 08:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,13.91,13.06,0.95,98207.47,0.0,0.0,0.0,372.98,6.17,199.74,1.0,5.29,0.0,0.0
2023-01-01 09:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,13.31,12.13,0.93,98121.73,0.0,0.0,0.0,366.82,4.42,230.52,0.96,1.56,0.0,0.0
2023-01-01 10:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,12.01,10.7,0.92,98126.79,0.0,0.0,0.0,349.78,2.52,228.78,0.38,0.15,0.0,0.0
2023-01-01 11:00:00,"(34.048051, -118.254187)",era5,214.67,-8.0,11.77,10.29,0.91,98089.31,0.0,0.0,0.0,341.2,1.93,218.63,0.43,0.04,0.0,0.0
